title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
Go Hard or Go Home,Various Artists,spotify:track:2QJnTfMpNG05KFf2E3gVIJ,0.651,0.741,4.0,-5.067,0.0,0.0408,0.00293,1.2e-05,0.217,0.386,168.02,232773.0,4.0,2
Läikkyy,Arttu Lindeman,spotify:track:1gou2U6ZcLKXLBC3MYVtEu,0.669,0.846,4.0,-3.976,0.0,0.156,0.15,0.0,0.154,0.793,150.014,206200.0,4.0,2
Älä herätä mua unesta,Mikael Gabriel,spotify:track:02RaNOB5CIiXAhgvLE6Xp0,0.656,0.675,1.0,-7.455,1.0,0.0457,0.119,0.0,0.0925,0.353,126.889,204573.0,4.0,3
Spaceman,Aste,spotify:track:3PfG2rMOU9HglycfbIC4yM,0.737,0.95,6.0,-2.522,0.0,0.0611,0.017,0.0,0.233,0.968,127.0,197453.0,4.0,2
Only One,Aste,spotify:track:1ttYNQjND5nBtUnpNMlLQQ,0.578,0.839,2.0,-3.806,1.0,0.0755,0.000649,0.0,0.0708,0.509,121.995,240280.0,4.0,3
Wherever I Go,OneRepublic,spotify:track:7kUtJKGZzLNgIkq1Galkt0,0.543,0.691,10.0,-6.403,0.0,0.0425,0.107,0.0,0.218,0.335,100.014,170213.0,4.0,2
Heatwave (feat. Akon),Robin Schulz,spotify:track:2KMJ5CoxY4ECG9TZyNWmpv,0.702,0.82,7.0,-4.323,0.0,0.063,0.196,0.0,0.156,0.52,107.936,187126.0,4.0,2
Hubba Bubba,Teflon Brothers,spotify:track:2hQVEDz4hG8RGmzSPKTDrT,0.68,0.847,11.0,-6.439,1.0,0.0353,0.000755,0.0,0.159,0.792,136.039,207394.0,4.0,3
I'm In Control,AlunaGeorge,spotify:track:16NOHRm0OEjmg55OZAxVmV,0.734,0.847,11.0,-3.713,0.0,0.0346,0.355,0.000144,0.154,0.673,104.013,209425.0,4.0,2
Arcade - Radio Edit,Dimitri Vegas & Like Mike,spotify:track:7FKjWBgGgCGYoRRDIhp4bR,0.565,0.957,3.0,-4.167,0.0,0.0723,0.00923,0.69,0.293,0.175,127.953,225000.0,4.0,2
She Doesn't Mind,Sean Paul,spotify:track:4odiyU3myG29Ld0wurMfE8,0.718,0.776,7.0,-5.208,0.0,0.0693,0.000624,5.3e-06,0.207,0.622,120.015,227787.0,4.0,2
Satellites - Radio Edit,Bobby Burns,spotify:track:3peFUAm5l0kWIJXy7Q8GYP,0.535,0.829,4.0,-4.371,1.0,0.0613,0.0713,2.7e-05,0.146,0.573,127.952,232519.0,4.0,3
Calling (Lose My Mind) - Radio Edit,Sebastian Ingrosso,spotify:track:34NNeV9jfgNgaALgUr0u9V,0.416,0.849,1.0,-4.909,0.0,0.0455,0.00864,0.000138,0.204,0.147,125.098,205440.0,4.0,2
Angels Unite (Radio Edit),Scarlet,spotify:track:3UFoVEy7B2yqUMB21yyJm2,0.529,0.876,5.0,-5.649,1.0,0.0337,0.00102,1.92e-05,0.353,0.282,144.998,216566.0,4.0,3
Gypsy Drop - Radio Edit,Filip Jenven,spotify:track:11xsm79HwpWV1C1lMXoVo9,0.797,0.962,1.0,-4.239,1.0,0.0906,0.000359,0.767,0.0454,0.422,128.047,180502.0,4.0,3
Bigroom Blitz - Radio Mix,Scooter,spotify:track:1Xcww2gldd5hN6WvGBsbFT,0.713,0.909,3.0,-4.274,1.0,0.0306,0.00303,0.000706,0.699,0.438,132.022,187273.0,4.0,0
Satisfied (feat. VASSY) - Original Mix,Showtek,spotify:track:6LU68pNqUguPOsjPIaJwo6,0.611,0.941,0.0,-1.958,1.0,0.0491,0.00326,0.0205,0.345,0.589,128.002,258743.0,4.0,3
Gold Skies - Original Mix,Sander van Doorn,spotify:track:4zXQSm5XIkcn5qtmtbwO9O,0.564,0.823,9.0,-6.316,0.0,0.046,0.00406,0.0716,0.684,0.221,128.018,329067.0,4.0,0
Love Louder - Style Of Eye Remix,John Martin,spotify:track:2WEiz65hkQPlThgncVH34T,0.56,0.854,1.0,-4.878,1.0,0.0669,0.00901,1.07e-06,0.506,0.274,126.001,373650.0,4.0,0
Forbidden Voices,Martin Garrix,spotify:track:2BF1X5nkYYSb0AUTRaGkDm,0.534,0.711,10.0,-5.927,0.0,0.0368,0.05,0.0031,0.135,0.3,128.102,230635.0,4.0,2
Salsa Tequila,Anders Nilsen,spotify:track:4WRjqQ6sx5qIcddaIxNTfF,0.661,0.906,6.0,-3.352,1.0,0.125,0.131,4.1e-05,0.0743,0.638,127.966,199805.0,4.0,3
All I Ever Wanted - Radio Edit,Basshunter,spotify:track:3uoqlATyV5IWOhy0LBF7k1,0.645,0.984,4.0,-7.051,1.0,0.0508,0.164,0.00701,0.164,0.553,144.954,176453.0,4.0,3
Memories (feat. Kid Cudi),David Guetta,spotify:track:4iMu9le3ytNO3tvgVpQANx,0.561,0.87,8.0,-6.103,1.0,0.343,0.0015,2.82e-06,0.246,0.498,129.98,210093.0,4.0,5
Trumpsta (Djuro Remix) [feat. Treyy G],Various Artists,spotify:track:3YcXXjmC9cM5Y2x3jUps0p,0.973,0.587,1.0,-7.014,1.0,0.242,0.00207,0.38,0.257,0.195,128.0,258507.0,4.0,5
Moonlight Shadow,ItaloBrothers,spotify:track:6T9vhWadqtG3J3jfYf8kcI,0.577,0.952,0.0,-5.172,1.0,0.0404,0.0529,0.00603,0.31,0.808,150.02,186880.0,4.0,3
Colours Of The Rainbow,ItaloBrothers,spotify:track:4fWcyB6ik13xv6QFmORi0H,0.616,0.946,0.0,-6.392,0.0,0.059,0.00341,0.000188,0.168,0.744,140.045,210240.0,4.0,2
Honey,Evelina,spotify:track:6d0eTPJ3JZTwOAwLdl0hOJ,0.68,0.633,3.0,-5.236,0.0,0.0344,0.0773,1.57e-06,0.183,0.501,149.922,221633.0,4.0,2
Pämppää,Teflon Brothers,spotify:track:6xQjgKUjjKgLDfOibSRyRM,0.8,0.887,9.0,-5.038,1.0,0.0632,0.113,0.0,0.154,0.526,109.988,191991.0,4.0,3
In2,WSTRN,spotify:track:3WEmAizxrtQwXEJQRwCrK1,0.553,0.662,8.0,-6.454,0.0,0.129,0.342,0.0,0.141,0.561,98.368,242121.0,4.0,2
Somebody to Die For,Hurts,spotify:track:0GDz2tPdh6FbxJxM75SQB4,0.426,0.599,11.0,-7.737,1.0,0.0282,0.0198,0.00142,0.366,0.102,91.995,275547.0,4.0,0
Jai Ho! (You Are My Destiny),The Pussycat Dolls,spotify:track:1domCrjxwdTsPWqVn2Ivc0,0.66,0.936,11.0,-3.931,1.0,0.0624,0.0531,2.46e-06,0.082,0.908,136.19,222413.0,4.0,3
Don't Hold Your Breath,Nicole Scherzinger,spotify:track:7pAq1IXYZpL42HchCminu6,0.66,0.797,5.0,-6.096,0.0,0.0262,0.00646,0.000108,0.187,0.674,110.955,197440.0,4.0,2
When I Grow Up,The Pussycat Dolls,spotify:track:7hFXQCDPgHhZQrC3vSM1o4,0.686,0.681,11.0,-5.761,0.0,0.0471,0.00185,0.0,0.395,0.366,118.472,245680.0,4.0,2
Stronger (What Doesn't Kill You),Kelly Clarkson,spotify:track:35a4Kzyo9XY4FI9FaSIzzF,0.555,0.923,0.0,-5.908,1.0,0.0482,0.0411,0.0,0.112,0.682,116.012,221920.0,4.0,3
Say OK,Vanessa Hudgens,spotify:track:5cfPxiul0cdhPYD2uzuQSg,0.471,0.696,7.0,-7.176,1.0,0.0468,0.00673,0.000955,0.0884,0.543,125.026,223867.0,3.0,6
Lovesick,Emily Osment,spotify:track:2w55BLEMG97Smym2V6itnx,0.611,0.715,0.0,-5.621,0.0,0.0604,0.00414,0.0,0.353,0.784,129.88,204813.0,3.0,2
Wherever I Go,Hannah Montana,spotify:track:3lWEKwBNo9IbE9pdKC5NU6,0.538,0.621,5.0,-3.358,1.0,0.027,0.0383,0.0,0.0976,0.372,79.024,212853.0,4.0,3
A Year Without Rain,Selena Gomez & The Scene,spotify:track:0lYS1tJg3r6ATe9bRPB0Hu,0.627,0.81,2.0,-5.296,0.0,0.0431,0.0125,3.09e-05,0.111,0.409,119.98,234347.0,4.0,2
Beauty And A Beat,Justin Bieber,spotify:track:0KTsmr6JOuhxZuiXUha1xC,0.601,0.845,0.0,-4.711,1.0,0.0653,0.00116,0.0001,0.0653,0.662,127.97,227987.0,4.0,3
Clouds (feat. A.J. McLean),Redrama,spotify:track:1RK5DiXAYnRZk1fEjnytdp,0.772,0.851,7.0,-4.343,1.0,0.09,0.0149,0.0,0.136,0.27,91.034,232013.0,4.0,3
Turn Me On (feat. Nicki Minaj),David Guetta,spotify:track:6T27IN7Ai94BeDv6PPCmoC,0.704,0.793,8.0,-2.266,1.0,0.0591,0.0488,0.0,0.575,0.412,127.96,199680.0,4.0,0
Sweat (Snoop Dogg vs. David Guetta) - David Guetta Remix,David Guetta,spotify:track:7LpT54RUvN0IvDGIxiwHwS,0.822,0.749,7.0,-5.563,1.0,0.0285,0.0697,0.000273,0.0732,0.707,130.005,196453.0,4.0,3
Selvä päivä - feat. Lord Est,Petri Nygård,spotify:track:107ct6t9kseeQWTyeRgcdO,0.801,0.726,6.0,-5.567,0.0,0.0443,0.0412,0.0,0.317,0.489,113.98,211560.0,4.0,2
Good Ol' Days,The Script,spotify:track:629MXzH7txguTIePdNXOWY,0.549,0.945,7.0,-4.351,1.0,0.0329,0.031,0.0,0.114,0.565,93.998,263920.0,4.0,3
Home,Dzeko & Torres,spotify:track:12HmJ4Q5ksOGgaqKgZLvdE,0.577,0.886,2.0,-3.033,1.0,0.0666,0.00562,0.0,0.111,0.616,127.957,174335.0,4.0,3
Don't Look Down (feat. Usher),Martin Garrix,spotify:track:5M9jOReAKGZ2AttVefFjTY,0.575,0.831,0.0,-5.972,1.0,0.0356,0.00406,0.000449,0.111,0.377,127.991,223140.0,4.0,3
Overtime - Vicetone Remix,Cash Cash,spotify:track:4qwucEZidHAAkcN0BemkoU,0.721,0.887,11.0,-3.095,0.0,0.166,0.00973,0.00054,0.61,0.678,125.987,357634.0,4.0,0
Unbreakable,Benjamin,spotify:track:5dajiBFiQxyOkmFglyTkvg,0.498,0.566,1.0,-7.381,1.0,0.0304,0.00587,0.0,0.156,0.267,141.872,201122.0,4.0,3
Moon Boots,The Script,spotify:track:1MkiqU0AvKhjOZdL6I7NQS,0.482,0.872,2.0,-4.813,1.0,0.0469,0.000518,0.0,0.0935,0.532,152.888,250333.0,4.0,3
If You Could See Me Now,The Script,spotify:track:6EzSy7WxNCazx3csu7lxdV,0.602,0.758,0.0,-6.864,1.0,0.0399,0.00569,0.0,0.145,0.368,100.017,219547.0,4.0,3
Everytime - Hi-Bias Radio Remix,Britney Spears,spotify:track:4b8ssS2AaEUIzOCDlH0aOT,0.524,0.902,0.0,-4.655,0.0,0.0315,0.00994,0.0018,0.094,0.657,128.009,208813.0,4.0,2
Gimme More,Britney Spears,spotify:track:6ic8OlLUNEATToEFU3xmaH,0.788,0.844,2.0,-3.131,1.0,0.0334,0.25,0.000678,0.0723,0.382,113.324,251240.0,4.0,3
We R Who We R,Kesha,spotify:track:5jaz6aiRknA63NIYWdbr2O,0.739,0.818,8.0,-5.062,1.0,0.0418,0.008,0.00504,0.164,0.713,119.982,204827.0,4.0,3
Che Guevara,Happoradio,spotify:track:5gsQegOEB7admETkL6ckUL,0.583,0.879,10.0,-4.171,0.0,0.0367,0.0745,0.0,0.187,0.46,139.943,229760.0,4.0,2
Troublemaker (feat. Flo Rida),Olly Murs,spotify:track:4jOtC832PyIXlCVPRElfQu,0.762,0.863,0.0,-3.689,0.0,0.0565,0.015,0.0,0.125,0.965,106.008,185587.0,4.0,2
Written in the Stars (feat. Eric Turner),Tinie Tempah,spotify:track:5m5TRf7ggoguXtcXQGprN4,0.656,0.931,7.0,-4.188,1.0,0.0981,0.0613,0.0,0.219,0.534,91.881,207653.0,4.0,3
About You Now,Sugababes,spotify:track:1ctdfJSzp6qF2iDAVdDrfl,0.584,0.699,1.0,-6.065,0.0,0.0378,6.52e-05,6.05e-05,0.486,0.585,82.499,212400.0,4.0,2
