title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
Aftermath,R.E.M.,spotify:track:1aKB6ZZ6AII26vny70lIVZ,0.603,0.734,5.0,-6.399,1.0,0.0257,0.075,4.16e-05,0.113,0.703,111.908,233920.0,4.0,3
High Speed Train,R.E.M.,spotify:track:7bNy3u2KlhKCGinyU4Bb0L,0.428,0.582,7.0,-8.131,1.0,0.0313,0.38,0.0943,0.146,0.232,177.552,303000.0,4.0,3
The Worst Joke Ever,R.E.M.,spotify:track:1Yl26dUAUpZKhTx781xvZm,0.496,0.514,9.0,-6.593,0.0,0.0238,0.22,0.00148,0.095,0.282,78.016,218133.0,4.0,2
The Ascent Of Man,R.E.M.,spotify:track:6EDDP9hX7raR5c1xKupvSg,0.586,0.524,4.0,-6.604,1.0,0.0268,0.0598,0.0348,0.279,0.42,119.931,247147.0,4.0,3
Around The Sun,R.E.M.,spotify:track:6Z2hyFJOePatKYzkLP8t3B,0.502,0.543,7.0,-7.563,1.0,0.0256,0.176,0.0493,0.124,0.118,109.966,268773.0,4.0,3
Living Well Is The Best Revenge,R.E.M.,spotify:track:0wjfUZsUl6MW8qbcwSyBaD,0.178,0.921,9.0,-2.349,1.0,0.0527,0.00515,3.68e-05,0.437,0.572,182.319,191947.0,4.0,0
Man-Sized Wreath,R.E.M.,spotify:track:5qSLUilozlRgUSnfHbGwOr,0.401,0.866,7.0,-2.762,1.0,0.0338,0.000559,1.01e-06,0.414,0.578,112.057,153307.0,4.0,3
Supernatural Superserious,R.E.M.,spotify:track:47i0RQi76b6UUCIBDgu2TR,0.461,0.642,2.0,-2.778,1.0,0.0525,0.00428,0.000678,0.153,0.76,125.079,203880.0,4.0,3
Hollow Man,R.E.M.,spotify:track:51ZKT6BHAnDSYyp65W750z,0.447,0.707,9.0,-5.329,1.0,0.0394,0.0931,0.0,0.053,0.498,144.984,159400.0,4.0,3
Houston,R.E.M.,spotify:track:5L1BH2YPxvDY2zDHjY5bJ9,0.199,0.614,7.0,-5.389,1.0,0.0307,0.0258,0.00885,0.314,0.763,177.177,125120.0,3.0,6
Accelerate,R.E.M.,spotify:track:5Nj149cDPccJzifCeI6kMN,0.294,0.908,11.0,-2.691,0.0,0.0441,0.00166,7.44e-06,0.122,0.465,149.013,213747.0,4.0,2
Until The Day Is Done,R.E.M.,spotify:track:3xm0eAgjnLfo9Gbd98zksE,0.313,0.659,7.0,-6.139,1.0,0.0278,0.173,0.000102,0.178,0.328,175.015,248933.0,3.0,6
Mr. Richards,R.E.M.,spotify:track:6NOri6xrIoAeUe2cusgmCf,0.324,0.883,6.0,-3.657,0.0,0.0337,0.0107,0.00937,0.174,0.533,153.969,226253.0,4.0,2
Sing For The Submarine,R.E.M.,spotify:track:0ReDx5oMeLcNZIi8SVWk4d,0.0825,0.757,4.0,-5.023,0.0,0.0412,0.00471,0.0646,0.116,0.366,64.129,290733.0,4.0,2
Horse To Water,R.E.M.,spotify:track:46yZpHEffqteQLp99GmXTZ,0.381,0.933,4.0,-2.516,1.0,0.045,0.0438,0.00125,0.527,0.686,91.078,138200.0,4.0,0
I'm Gonna DJ,R.E.M.,spotify:track:22aUkX4TQG0AYpxZzz1cPf,0.421,0.906,9.0,-3.557,0.0,0.0563,0.000253,0.000925,0.161,0.74,143.842,127840.0,4.0,2
I Took Your Name - Live,R.E.M.,spotify:track:777BOPJfBfSK4MBN0A2t1k,0.4,0.965,4.0,-4.954,0.0,0.097,0.0232,0.0682,0.99,0.109,119.931,248480.0,4.0,0
"So Fast, So Numb - Live",R.E.M.,spotify:track:4zrOED0t273SQEVXbEdxc9,0.471,0.98,0.0,-4.686,1.0,0.11,0.182,2.64e-05,0.686,0.225,111.529,280147.0,4.0,0
Boy In The Well - Live,R.E.M.,spotify:track:54VC5s0XdNZ3HAUNOSdVey,0.226,0.871,4.0,-5.37,0.0,0.0659,0.0843,0.000168,0.975,0.298,162.765,316293.0,4.0,0
Electron Blue - Live,R.E.M.,spotify:track:2G7asLWsMwSMt0l9rlz80G,0.356,0.949,0.0,-6.281,1.0,0.0837,0.157,1.33e-06,0.933,0.579,190.532,253773.0,4.0,0
Bad Day - Live,R.E.M.,spotify:track:66ZISIj9kxEthezQgZid9b,0.189,0.99,5.0,-4.858,1.0,0.229,0.0448,7.74e-06,0.706,0.15,97.306,266107.0,4.0,0
The Ascent Of Man - Live,R.E.M.,spotify:track:43tikaAKe0CwphbSxxcXRw,0.494,0.832,4.0,-5.42,1.0,0.0397,0.0735,0.00237,0.978,0.322,130.058,252280.0,4.0,0
The Great Beyond - Live,R.E.M.,spotify:track:4mHGbEMnK8wN88KOe36KAQ,0.236,0.896,7.0,-5.85,1.0,0.118,0.113,2.24e-06,0.954,0.201,127.088,289400.0,4.0,0
Leaving New York - Live,R.E.M.,spotify:track:2vQSonAVFrPIlS73TOPIth,0.258,0.805,7.0,-5.776,1.0,0.0376,0.0593,4.28e-06,0.987,0.298,97.567,288547.0,4.0,0
I Wanted To Be Wrong - Live,R.E.M.,spotify:track:7M0p40NeWAnEUIU2d9GvoP,0.275,0.537,4.0,-8.755,1.0,0.0304,0.528,0.014,0.965,0.339,151.063,302333.0,4.0,0
Final Straw - Live,R.E.M.,spotify:track:2ZXpUrnBTYFd3vzB64Dnoa,0.543,0.836,0.0,-6.994,1.0,0.0404,0.0418,0.000269,0.977,0.469,107.538,250360.0,4.0,0
Imitation Of Life - Live,R.E.M.,spotify:track:6Zq5JqGOUlzPCl8u6dbpbj,0.446,0.919,4.0,-5.366,0.0,0.106,0.0848,0.0,0.981,0.256,131.957,233440.0,4.0,0
Walk Unafraid - Live,R.E.M.,spotify:track:2d5SFKrq5WVsPCCW4reYWJ,0.232,0.887,4.0,-6.288,0.0,0.166,0.111,1.4e-06,0.974,0.0783,139.456,302027.0,4.0,0
"What's The Frequency, Kenneth? - Live",R.E.M.,spotify:track:0pxceuQFhV8wsLHAiWyhh9,0.4,0.985,2.0,-5.582,1.0,0.153,0.0236,0.0,0.989,0.305,103.529,246387.0,4.0,0
I'm Gonna DJ - Live,R.E.M.,spotify:track:5ZWx1Mw1ZhMQW3e57lVL3b,0.387,0.972,4.0,-5.305,1.0,0.357,0.044,0.0,0.967,0.179,137.406,147253.0,4.0,0
Feeling Gravitys Pull,R.E.M.,spotify:track:2n2l2dKnQX4ihHVe0dDUYf,0.413,0.503,4.0,-14.66,0.0,0.036,0.532,0.0184,0.299,0.311,109.332,290867.0,4.0,4
Maps And Legends,R.E.M.,spotify:track:3V0oy6kmhmE376ayQFRyHS,0.504,0.463,2.0,-14.079,1.0,0.0306,0.134,0.793,0.116,0.797,116.286,190533.0,4.0,1
Driver 8,R.E.M.,spotify:track:4P723ZazKqQox4zEwgsDec,0.398,0.737,7.0,-12.512,1.0,0.0357,0.0738,0.146,0.163,0.858,161.005,203800.0,4.0,3
Life And How To Live It,R.E.M.,spotify:track:7KLRBe9yvG3d8aANVZYme6,0.362,0.805,7.0,-13.044,1.0,0.0676,0.25,3.55e-05,0.0639,0.467,169.363,248200.0,4.0,3
Old Man Kensey,R.E.M.,spotify:track:6epADtDc9xvrKwIzItK3Gu,0.48,0.439,4.0,-13.604,1.0,0.0293,0.0231,0.419,0.108,0.699,113.103,250733.0,4.0,3
Green Grow The Rushes,R.E.M.,spotify:track:7EoJ6jHG1ndNHRiWOX3dex,0.518,0.508,2.0,-14.606,1.0,0.0333,0.1,0.0225,0.115,0.605,128.709,226027.0,4.0,4
Kohoutek,R.E.M.,spotify:track:0MofLGsMKV4OS56pEXkX3R,0.432,0.595,2.0,-14.132,1.0,0.035,0.129,0.814,0.284,0.823,125.806,197773.0,4.0,1
Auctioneer (Another Engine),R.E.M.,spotify:track:2ORfyXOOBNFqSGE9IvkNbg,0.316,0.863,9.0,-12.776,1.0,0.055,0.00804,0.00944,0.152,0.62,163.224,164427.0,4.0,3
Good Advices,R.E.M.,spotify:track:23zzZ07Y5LjxfMjPvSxG45,0.516,0.496,9.0,-14.718,1.0,0.0294,0.025,0.146,0.0888,0.626,114.006,210573.0,4.0,3
Wendell Gee,R.E.M.,spotify:track:0R9He5QEKW6f7LVIOpDcXf,0.468,0.238,0.0,-19.867,1.0,0.0304,0.261,0.000544,0.163,0.559,143.573,181200.0,4.0,4
Begin The Begin - 2011 Remaster,R.E.M.,spotify:track:335m5rSNMRkjQLcC6AH9Ou,0.46,0.951,2.0,-4.271,1.0,0.0511,0.00357,0.0325,0.272,0.661,125.044,207800.0,4.0,3
These Days - 2011 Remaster,R.E.M.,spotify:track:34gU1xrVRB1fXhEKfDHvdW,0.243,0.954,9.0,-3.793,1.0,0.0757,0.00223,0.0,0.103,0.662,166.245,204427.0,4.0,3
Cuyahoga - 2011 Remaster,R.E.M.,spotify:track:2Sw1lJWQP4a074bjdy3eUH,0.503,0.786,2.0,-5.98,1.0,0.0365,0.308,0.000169,0.106,0.569,123.381,260249.0,4.0,3
Hyena - 2011 Remaster,R.E.M.,spotify:track:4CxsW9smFkgaCme6wrJCOJ,0.3,0.955,9.0,-4.596,1.0,0.101,0.0019,0.101,0.241,0.75,172.733,171520.0,4.0,3
Underneath The Bunker - 2011 Remaster,R.E.M.,spotify:track:0dNEzzkjMHBcuvJ5ubNWni,0.453,0.915,4.0,-5.558,1.0,0.0335,0.0879,0.00958,0.348,0.973,142.66,87413.0,4.0,3
The Flowers Of Guatemala - 2011 Remaster,R.E.M.,spotify:track:3Gg9Jv64U2SsoxAKQV2Bpg,0.3,0.618,9.0,-6.472,1.0,0.0252,0.1,0.162,0.0956,0.342,104.137,236760.0,4.0,3
I Believe - 2011 Remaster,R.E.M.,spotify:track:1aQutgVoGpCSvh17RD9Zp8,0.272,0.943,5.0,-4.345,1.0,0.0838,0.0913,0.000977,0.109,0.698,174.724,230133.0,4.0,3
What If We Give It Away? - 2011 Remaster,R.E.M.,spotify:track:01IsJnyuYpx9ialsgULG9t,0.591,0.68,2.0,-5.031,1.0,0.0286,0.0511,0.000241,0.248,0.551,126.881,214547.0,4.0,3
Just A Touch - 2011 Remaster,R.E.M.,spotify:track:7l3gxzLAeMzam9JI3LVI6C,0.2,0.98,2.0,-4.5,1.0,0.0753,0.00243,0.000327,0.0379,0.568,186.661,180253.0,4.0,3
Swan Swan H - 2011 Remaster,R.E.M.,spotify:track:5JSgeW8z84nkWJj1r60Egi,0.276,0.619,9.0,-6.266,0.0,0.0316,0.283,3.41e-06,0.34,0.767,176.635,164027.0,3.0,6
Superman - 2011 Remaster,R.E.M.,spotify:track:4ROLwc00PqzRFLwQEPF54S,0.431,0.856,9.0,-3.881,1.0,0.0386,0.0249,0.0183,0.297,0.76,115.236,172640.0,4.0,3
Fall On Me - Athens Demo,R.E.M.,spotify:track:0mXxyjmuNC2G8jc7S6T8hg,0.495,0.865,0.0,-5.148,1.0,0.0306,0.0289,1.44e-05,0.691,0.839,116.346,169627.0,4.0,0
Hyena - Athens Demo,R.E.M.,spotify:track:4FyG5NkSA5XjZx7gsNzdsh,0.321,0.984,9.0,-4.739,1.0,0.0812,0.00371,0.0686,0.0763,0.82,166.788,169933.0,4.0,3
March Song (King Of Birds) - Athens Demo,R.E.M.,spotify:track:4S8Pk1G807PddEfzOmfJaJ,0.442,0.714,2.0,-6.978,1.0,0.0258,5.47e-05,0.96,0.123,0.747,90.607,225653.0,4.0,1
These Days - Athens Demo,R.E.M.,spotify:track:5jxy97djXTJRrqUSYUh3NO,0.398,0.977,11.0,-4.558,0.0,0.0529,0.00396,0.187,0.303,0.744,159.83,215733.0,4.0,2
Bad Day - Athens Demo,R.E.M.,spotify:track:7iidbS18KTikFvE1Jqyfj7,0.21,0.967,5.0,-3.682,1.0,0.09,0.0401,8.57e-05,0.181,0.639,190.857,206267.0,4.0,3
Salsa (Underneath The Bunker) - Athens Demo,R.E.M.,spotify:track:6KvlbHcviIEG3xJQdDtVVq,0.655,0.806,11.0,-6.174,0.0,0.0356,0.0494,0.903,0.405,0.964,132.844,92387.0,4.0,2
Swan Swan H - Athens Demo,R.E.M.,spotify:track:2PEf7P5gTU2vSbpxki6zv2,0.297,0.687,9.0,-5.952,0.0,0.0332,0.0265,0.0,0.346,0.608,181.707,158760.0,3.0,6
The Flowers Of Guatemala - Athens Demo,R.E.M.,spotify:track:4oOjAy1WSDhNnYS5O7Oe3f,0.463,0.744,9.0,-6.921,1.0,0.0345,0.165,0.948,0.105,0.471,108.596,209200.0,4.0,1
Begin The Begin - Athens Demo,R.E.M.,spotify:track:57x5YwPPv3W87FtHPyBuSa,0.526,0.959,9.0,-4.518,1.0,0.0513,0.0421,0.0943,0.324,0.582,123.322,213933.0,4.0,3
Cuyahoga - Athens Demo,R.E.M.,spotify:track:5B7HRhcnq02zhm1raoBvsG,0.586,0.81,2.0,-6.264,1.0,0.0299,0.0477,0.0059,0.105,0.749,125.349,272813.0,4.0,3
I Believe - Athens Demo,R.E.M.,spotify:track:68HfZKSQpAwDvFPZyUFKW4,0.259,0.932,5.0,-5.222,1.0,0.0532,0.0582,0.00617,0.092,0.678,171.068,216667.0,4.0,3
Out Of Tune - Athens Demo,R.E.M.,spotify:track:7rvQSvaMPSSDMZfadxE2Cr,0.513,0.842,11.0,-9.136,0.0,0.0523,0.00288,0.929,0.214,0.977,136.125,33560.0,4.0,1
Jazz (Rotary Ten) - Athens Demo,R.E.M.,spotify:track:0RM6FZiVC6pLXOpiCu7rBi,0.461,0.724,4.0,-6.989,0.0,0.034,0.000266,0.595,0.162,0.536,126.479,72693.0,4.0,2
Two Steps Onward - Athens Demo,R.E.M.,spotify:track:1ljqghe86YuT8tWJ4fiihH,0.472,0.655,7.0,-6.466,1.0,0.0375,0.116,0.0533,0.108,0.336,113.897,264107.0,4.0,3
Just A Touch - Athens Demo,R.E.M.,spotify:track:2v8bBtrcmvHgTJhlpQBmbs,0.324,0.91,2.0,-4.568,1.0,0.0772,0.0053,0.0,0.245,0.698,178.052,150920.0,4.0,3
Mystery To Me - Athens Demo,R.E.M.,spotify:track:23kgzrAzkyv8MJAPaAkD23,0.268,0.921,9.0,-4.711,1.0,0.0531,0.00258,0.0,0.289,0.862,177.789,126947.0,4.0,3
Wait - Athens Demo,R.E.M.,spotify:track:1yA67ImOmSZxGui4yzB8rc,0.173,0.932,9.0,-5.366,1.0,0.0644,0.00364,5.16e-05,0.351,0.934,187.999,130264.0,4.0,3
All The Right Friends - Athens Demo,R.E.M.,spotify:track:7Lbz8GD6Z9pgIoGY13cZvE,0.394,0.932,8.0,-4.368,0.0,0.0577,0.0451,2.98e-06,0.32,0.586,151.493,219813.0,4.0,2
Get On Their Way (What If We Give It Away?) - Athens Demo,R.E.M.,spotify:track:0dgzUHv3tNZEJu7aghjOt9,0.571,0.821,2.0,-4.984,1.0,0.033,0.0478,0.000122,0.352,0.415,129.131,196600.0,4.0,3
Begin The Begin,R.E.M.,spotify:track:5z0V8zBt6uI8dqc0ChROpg,0.481,0.835,9.0,-11.318,1.0,0.0415,0.0222,0.0109,0.111,0.693,124.937,208093.0,4.0,3
These Days,R.E.M.,spotify:track:1zTeBZXy4p2UALobZztYDs,0.277,0.851,9.0,-10.061,1.0,0.0515,0.0079,0.0,0.108,0.735,165.837,204707.0,4.0,3
Fall On Me,R.E.M.,spotify:track:181ERlg2wowFuRobnrMZJ2,0.442,0.704,9.0,-10.831,0.0,0.0416,0.0987,0.000241,0.138,0.538,118.12,170800.0,4.0,2
Cuyahoga,R.E.M.,spotify:track:62BwRNlV4Xpel5ssYVLs56,0.507,0.599,2.0,-11.84,1.0,0.0347,0.446,6.31e-05,0.096,0.658,123.175,261400.0,4.0,4
Hyena,R.E.M.,spotify:track:4GXr2a7dHK5MkRlITyYUFs,0.316,0.888,9.0,-11.18,1.0,0.0525,0.0116,0.073,0.363,0.811,172.588,171360.0,4.0,3
Underneath The Bunker,R.E.M.,spotify:track:1OajLIJnTBTsZmB2ngu2K2,0.455,0.7,4.0,-13.914,1.0,0.0323,0.121,0.0126,0.312,0.975,142.54,87533.0,4.0,3
The Flowers Of Guatemala,R.E.M.,spotify:track:3JGq2WvLc8u39Jk3s9CaHI,0.305,0.449,9.0,-12.591,1.0,0.0259,0.209,0.178,0.1,0.372,104.562,236933.0,4.0,4
I Believe,R.E.M.,spotify:track:6SjqGNzkhhcNVaMUEVOjoK,0.292,0.801,5.0,-11.543,1.0,0.0548,0.29,0.00309,0.127,0.755,174.318,230507.0,4.0,3
What If We Give It Away?,R.E.M.,spotify:track:1sosHhAe3KYjcq2h1JX4LX,0.594,0.529,2.0,-10.639,1.0,0.0291,0.156,9.41e-05,0.0994,0.593,126.725,214800.0,4.0,3
Just A Touch,R.E.M.,spotify:track:3UUOF28lDAlsU1BaiewR3f,0.213,0.924,2.0,-10.305,1.0,0.0589,0.0253,0.00185,0.0336,0.603,186.681,180867.0,4.0,3
Swan Swan H,R.E.M.,spotify:track:0mqOrDj9tgRRv3Kb3FRHnI,0.283,0.349,9.0,-15.762,0.0,0.0323,0.259,1.69e-06,0.338,0.732,176.14,170093.0,3.0,6
Superman,R.E.M.,spotify:track:7iqds11TrI0RS6p3ALk004,0.452,0.64,9.0,-10.89,1.0,0.0352,0.0577,0.0414,0.231,0.814,115.058,173040.0,4.0,3
Finest Worksong,R.E.M.,spotify:track:0O7f4jLccME6ZfYfJ1twsX,0.352,0.805,11.0,-9.497,1.0,0.0381,0.00202,0.00035,0.332,0.687,176.92,230093.0,4.0,3
Welcome To The Occupation,R.E.M.,spotify:track:0lWmYkUT12Nv9AD8EiKGPt,0.539,0.761,4.0,-10.759,0.0,0.0362,0.0335,0.0,0.0851,0.906,124.491,168800.0,4.0,2
Exhuming McCarthy,R.E.M.,spotify:track:7MkDvEslqFKLL0NubyaPNj,0.718,0.675,1.0,-10.452,1.0,0.0431,0.0385,0.0,0.163,0.969,122.627,201600.0,4.0,3
Disturbance At The Heron House,R.E.M.,spotify:track:3yLlEK0X2jjjcqchXVfQmr,0.589,0.734,7.0,-9.271,1.0,0.0275,0.23,0.0,0.139,0.814,131.464,214107.0,4.0,3
Strange,R.E.M.,spotify:track:0hwxPHS9l7oHIQ5nFllsct,0.565,0.748,11.0,-8.638,0.0,0.0335,0.000761,5.99e-05,0.0682,0.848,127.901,153293.0,4.0,2
Fireplace,R.E.M.,spotify:track:50KO46MHsh9K67kdPTk7mX,0.479,0.71,2.0,-10.331,1.0,0.0369,0.0343,3.64e-05,0.112,0.597,101.607,204507.0,3.0,6
Lightnin' Hopkins,R.E.M.,spotify:track:0bE5gJJno8d6jBLgqHmx7k,0.557,0.735,1.0,-9.982,0.0,0.0326,0.00018,0.182,0.0495,0.705,131.426,201267.0,4.0,2
King Of Birds,R.E.M.,spotify:track:0UC7PmiavPOlFq0rEOfN6e,0.579,0.522,2.0,-12.803,1.0,0.0267,0.124,0.0,0.109,0.565,94.641,250333.0,4.0,3
Oddfellows Local 151,R.E.M.,spotify:track:3KUcECg6BJNDEnDqDRxCy2,0.736,0.501,4.0,-12.07,0.0,0.0365,0.06,0.00676,0.0752,0.909,115.741,321667.0,4.0,2
Finest Worksong - Remastered,R.E.M.,spotify:track:0D4lZI5jBVVB1PUqkkZuNa,0.338,0.891,11.0,-4.422,1.0,0.0441,0.00107,9.28e-05,0.371,0.572,177.18,230120.0,4.0,0
Welcome To The Occupation - Remastered,R.E.M.,spotify:track:13VdKqBE8m6EGFr5BHMLTX,0.53,0.867,4.0,-6.376,0.0,0.0356,0.057,0.0,0.239,0.813,124.599,168747.0,4.0,2
Exhuming McCarthy - Remastered,R.E.M.,spotify:track:7GEQic2y8KjVONDyRvZgCK,0.689,0.826,1.0,-4.877,1.0,0.0417,0.0401,0.0,0.233,0.967,122.69,201547.0,4.0,3
Disturbance At The Heron House - Remastered,R.E.M.,spotify:track:3kL3FV7NPNfzgVeiG753r6,0.572,0.859,7.0,-4.552,1.0,0.0272,0.0868,0.0,0.136,0.769,131.558,213973.0,4.0,3
Strange - Remastered,R.E.M.,spotify:track:4xP8dSzmS3FxyjL1FHAHyG,0.547,0.843,11.0,-4.465,0.0,0.0355,7.76e-05,1.27e-05,0.0816,0.731,127.806,153253.0,4.0,2
It's The End Of The World As We Know It (And I Feel Fine) - Remastered,R.E.M.,spotify:track:7MYbzpwYe4idnynYQCE998,0.329,0.942,7.0,-3.62,1.0,0.0586,0.0296,0.0,0.183,0.71,205.692,247240.0,4.0,3
The One I Love - Remastered 2012,R.E.M.,spotify:track:2fdfsGuqb6SBX5ocoBWHUd,0.488,0.84,2.0,-4.626,1.0,0.0356,0.000395,1.21e-06,0.346,0.559,127.862,197800.0,4.0,3
Fireplace - Remastered,R.E.M.,spotify:track:6EdGxt0yfpfrL7xQXOGNRL,0.46,0.823,2.0,-5.145,1.0,0.0379,0.00317,3.2e-05,0.162,0.614,101.77,204387.0,3.0,3
Lightnin' Hopkins - Remastered,R.E.M.,spotify:track:5y4GrsURgB4jFWhd6u5Fgt,0.545,0.852,1.0,-4.924,0.0,0.0489,4.46e-05,0.0546,0.0644,0.599,131.504,201200.0,4.0,2
King Of Birds - Remastered,R.E.M.,spotify:track:3Fo7sQWKHXU6ryIFoTdhD6,0.563,0.756,2.0,-5.096,1.0,0.0268,0.0761,0.0,0.131,0.532,94.681,250280.0,4.0,3
Oddfellows Local 151 - Remastered,R.E.M.,spotify:track:4LHcMikek6Rr1m4WVmiXiY,0.713,0.665,4.0,-5.688,0.0,0.0333,0.0276,0.00676,0.0733,0.869,115.834,321400.0,4.0,2
Lightnin' Hopkins - Live,R.E.M.,spotify:track:1tFCj0zZS5Ia7yAvhg2bJ9,0.385,0.956,9.0,-5.389,1.0,0.313,0.0375,0.0128,0.698,0.201,137.39,223373.0,4.0,0
Welcome To The Occupation - Live,R.E.M.,spotify:track:7o3RSn8OfgU0jNH6mSj60g,0.42,0.962,4.0,-5.776,0.0,0.0875,0.038,0.000857,0.906,0.668,129.863,173267.0,4.0,0
Feeling Gravitys Pull - Live,R.E.M.,spotify:track:3wN2wYA5waMnzPNvsxmW2h,0.328,0.906,4.0,-4.401,0.0,0.0659,0.341,0.000103,0.786,0.166,110.364,331187.0,4.0,0
"Wolves, Lower - Live",R.E.M.,spotify:track:4sz7TEGDqbfybXlmtoq7m6,0.236,0.958,11.0,-4.868,0.0,0.0631,0.000742,0.00384,0.957,0.454,159.974,263373.0,4.0,0
Just A Touch - Live,R.E.M.,spotify:track:3enzXVEtN9CXX1Ma4hHcKv,0.147,0.99,2.0,-2.852,1.0,0.139,0.0577,0.000121,0.923,0.228,183.465,184080.0,4.0,0
Oddfellows Local 151 - Live,R.E.M.,spotify:track:5JdcjqY7R3Z5O7xUX3lXb6,0.51,0.913,4.0,-5.659,0.0,0.0679,0.117,0.00355,0.849,0.677,115.922,301256.0,4.0,0
Disturbance At The Heron House - Live,R.E.M.,spotify:track:6BVKxlWZO9i8Q1XNrL6qVX,0.491,0.943,7.0,-5.342,1.0,0.0569,0.0989,2.95e-05,0.833,0.651,130.603,221472.0,4.0,0
Moral Kiosk - Live,R.E.M.,spotify:track:7bkCPntl1KvfvPnamHtv1j,0.185,0.982,6.0,-4.312,0.0,0.0805,0.0292,0.0169,0.955,0.321,162.045,182013.0,4.0,0
Pop Song 89 - Remastered,R.E.M.,spotify:track:0f7lwf8ahLohUsaMW8GZIO,0.608,0.679,2.0,-10.808,1.0,0.0314,0.0023,0.00048,0.0591,0.961,128.024,184933.0,4.0,3
Get Up - Remastered,R.E.M.,spotify:track:0h6J9HuBHu4kgJXEExYStW,0.537,0.776,9.0,-10.291,1.0,0.0318,0.00724,0.000266,0.369,0.83,118.196,161773.0,4.0,3
You Are The Everything - Remastered,R.E.M.,spotify:track:3zuBSL7zGCrZhQIzbGGLNv,0.301,0.347,7.0,-14.495,1.0,0.033,0.0869,0.0,0.218,0.681,153.408,224667.0,4.0,4
Stand - Remastered,R.E.M.,spotify:track:1xZugBFMDSnCBTNrreWET0,0.653,0.738,4.0,-10.057,1.0,0.0285,0.397,0.0,0.0931,0.932,109.322,192960.0,4.0,3
World Leader Pretend - Remastered,R.E.M.,spotify:track:7KBiPgHgfy5t1wo2alQvF6,0.588,0.587,4.0,-12.354,0.0,0.0294,0.0144,7.64e-05,0.113,0.681,129.001,259733.0,4.0,2
The Wrong Child - Remastered,R.E.M.,spotify:track:0ASBGQASJpCkjKFNCfX6MV,0.554,0.451,2.0,-14.021,1.0,0.0297,0.725,4.66e-06,0.299,0.714,115.029,218333.0,4.0,4
Orange Crush - Remastered 2013,R.E.M.,spotify:track:1dZ0YJDBE5cyEbYVahUqPI,0.568,0.701,9.0,-10.453,1.0,0.04,0.000613,0.00258,0.17,0.638,120.678,231640.0,4.0,3
Turn You Inside-Out - Remastered,R.E.M.,spotify:track:5cHJkKqz6USfa7U5xT4j8o,0.307,0.792,9.0,-10.188,1.0,0.0415,0.0129,0.0575,0.0757,0.667,176.852,257293.0,4.0,3
Hairshirt - Remastered,R.E.M.,spotify:track:6a41HuIgrgtxlCG3HrmuF0,0.402,0.242,7.0,-16.5,1.0,0.035,0.647,2.01e-05,0.293,0.302,81.594,235907.0,4.0,4
I Remember California - Remastered,R.E.M.,spotify:track:0S2EI5OG9EZmd99muBr5o9,0.536,0.444,9.0,-12.536,1.0,0.0272,0.00323,0.00875,0.0576,0.524,95.077,303893.0,4.0,4
Untitled - Remastered,R.E.M.,spotify:track:5HPjqOCPuWmu47JBt5mZmu,0.566,0.445,0.0,-11.889,1.0,0.0322,0.0626,3.36e-05,0.103,0.877,121.884,189800.0,4.0,3
Stand - Live,R.E.M.,spotify:track:7K0ckTIiJxiDf3PAz43ffK,0.479,0.975,4.0,-2.865,1.0,0.0539,0.0595,0.000227,0.978,0.637,119.371,180793.0,4.0,0
The One I Love - Live,R.E.M.,spotify:track:2Hp8R284hLLC4oI0JqA3BW,0.358,0.91,9.0,-3.861,1.0,0.0534,0.0134,0.0173,0.93,0.161,134.205,197945.0,4.0,0
So. Central Rain (I'm Sorry) - Live,R.E.M.,spotify:track:3mqOAjrWkIaLBt8OFpPMoP,0.401,0.95,2.0,-3.951,0.0,0.059,0.00278,0.0473,0.988,0.632,141.213,220088.0,4.0,0
Turn You Inside-Out - Live,R.E.M.,spotify:track:3X6zrlUXDceWpjXxDD7rPs,0.147,0.956,11.0,-2.439,0.0,0.0765,0.00822,0.077,0.983,0.48,184.483,249461.0,4.0,0
Belong - Live,R.E.M.,spotify:track:1J76yKdJkBFXdqaBP57rd4,0.476,0.898,7.0,-4.446,1.0,0.0429,0.00184,0.856,0.997,0.41,102.164,249211.0,4.0,0
Exhuming McCarthy - Live,R.E.M.,spotify:track:000HmzbYBg0Uxe6cE47Tws,0.394,0.968,1.0,-3.698,1.0,0.121,0.0113,6.11e-05,0.981,0.8,129.346,193547.0,4.0,0
Good Advices - Live,R.E.M.,spotify:track:470ZgNmwM6ntNvZClWQYLy,0.415,0.933,9.0,-4.306,1.0,0.044,0.00992,5.81e-05,0.859,0.373,125.444,190461.0,4.0,0
Orange Crush - Live,R.E.M.,spotify:track:0vt1cGAWxkatFG7mdnvX3O,0.404,0.985,2.0,-3.381,1.0,0.101,6.37e-05,0.0157,0.871,0.408,130.844,217474.0,4.0,0
Feeling Gravity's Pull - Live,R.E.M.,spotify:track:4FSHtF9F7KuHy3FYtIPr6s,0.282,0.904,11.0,-5.015,0.0,0.0944,0.00464,0.0325,0.984,0.168,109.966,379544.0,4.0,0
Cuyahoga - Live,R.E.M.,spotify:track:7D5hu27sQXyQzrJwvOyrh1,0.399,0.918,2.0,-4.8,1.0,0.0583,0.0549,1.36e-05,0.908,0.441,127.262,250714.0,4.0,0
